标题,内容,发布时间,发布日期,提取证券名称,匹配证券代码
,财联社9月20日电，光大证券在港交所公告，光大资本以26.4亿元人民币与招商银行等和解。,22:54:13,2023-09-20,,
穆迪与越南主要金融公司合作成立评级机构,【穆迪与越南主要金融公司合作成立评级机构】财联社9月20日电，穆迪9月19日发表声明称，日前与越南多家金融机构共同成立越南投资者服务与信用评级机构股份公司（VIS Rating）。这项合作由越南债券市场协会（VBMA）发起。根据声明，越南财政部于9月18日向 VIS Rating颁发信用评级机构许可证，后者将为越南国内企业债券发行人提供信用评级服务。穆迪是VIS Rating的最大股东，持股49%。其他创始股东包括ACB Securities、Dragon Capital Finance和VNDirect Securities等。VIS Rating将独立于穆迪运营。,22:42:12,2023-09-20,,
利比亚最高国家委员会要求对德尔纳洪灾原因进行国际调查,【利比亚最高国家委员会要求对德尔纳洪灾原因进行国际调查】财联社9月20日电，据阿拉比亚电视台当地时间9月20日报道，利比亚最高国家委员会要求对德尔纳洪灾原因进行全面的国际调查。利比亚最高国家委员会还表示，将在德尔纳市内组建一个危机管理委员会，由国家负责德尔纳的重建进程。,22:38:02,2023-09-20,,
,财联社9月20日电，美国众议院议长麦卡锡表示，更接近避免政府停摆。,22:36:53,2023-09-20,,
我国首个海上油田群储能电站全容量并网投用,【我国首个海上油田群储能电站全容量并网投用】财联社9月20日电，据中国海油湛江分公司消息，9月20日，我国首个海上油田群储能电站——涠洲电网储能电站全容量并入涠洲油田群电网。涠洲电网储能电站与涠洲油田群电网内的燃气电站、余热电站、光伏电站共同构建了我国首个源网荷储一体、多能互补的海上油田群智慧电力系统。,22:34:27,2023-09-20,,
首旅酒店：国庆期间酒店预售情况良好,【首旅酒店：国庆期间酒店预售情况良好】财联社9月20日电，首旅酒店在互动平台表示，国庆期间酒店预售情况良好，未来实现营业收入取决于酒店住宿客人订单实际履约情况。,22:34:07,2023-09-20,首旅酒店,600258.SH
黎巴嫩总理与土耳其总统及巴勒斯坦总统举行三方会晤,【黎巴嫩总理与土耳其总统及巴勒斯坦总统举行三方会晤】财联社9月20日电，黎巴嫩总理府新闻办公室当地时间9月20日宣布，正在纽约出席联合国大会的黎巴嫩看守政府总理米卡提与土耳其总统埃尔多安及巴勒斯坦总统阿巴斯举行三方会晤。三方会晤结束后，米卡提与阿巴斯进行了单独会谈，双方讨论了黎南部最大巴勒斯坦难民营的安全局势。根据黎巴嫩总理府新闻办公室发布的消息，巴勒斯坦总统阿巴斯表示他已下令要求难民营内的巴勒斯坦武装派别结束“战斗”。米卡提强调，巴勒斯坦武装派别应与黎安全部门进行合作以缓解紧张局势。,22:32:46,2023-09-20,,
,财联社9月20日电，美国至9月15日当周EIA原油库存减少213.5万桶。,22:30:40,2023-09-20,,
,财联社9月20日电，据比亚迪汽车官微消息，仰望U8豪华版正式上市，售价109.8万元。,22:18:06,2023-09-20,,
香港证监会：与JPEX从未就牌照进行过沟通,【香港证监会：与JPEX从未就牌照进行过沟通】财联社9月20日电，香港证监会就JPEX发布声明，虚拟资产交易平台JPEX从未就任何可能的牌照申请与证监会接洽，而JPEX集团内没有实体获证监会发牌，或已向证监会申请在香港经营虚拟资产交易平台的牌照。因此，证监会与JPEX之间没有就发牌相关事宜进行沟通。,22:11:33,2023-09-20,香港证监会,
周小川：要高度重视人工智能与人类的多元价值对齐,【周小川：要高度重视人工智能与人类的多元价值对齐】财联社9月20日电，博鳌亚洲论坛国际科技与创新论坛第三届大会20日举行开幕式。博鳌亚洲论坛副理事长周小川在致辞中表示，全球科技创新治理已成为紧迫任务。全球需要在加强知识产权保护的同时，促进生物、绿色和数字科技的快速和广泛应用。要在加强隐私保护和关键数据安全的同时，促进数据有序跨境流动，共享全球数字红利。在追求通用人工智能的道路上，要高度重视人工智能与人类的多元价值对齐。总之，要加强全球科技治理，引导科技向善、规范科技伦理、保护劳动者权益，让科技革命造福人类。,22:10:34,2023-09-20,周小川,
乌媒：西班牙将提供新一轮对乌援助,【乌媒：西班牙将提供新一轮对乌援助】财联社9月20日电，据乌克兰国家通讯社当地时间20日报道，西班牙国防大臣罗夫莱斯宣布，将向乌克兰提供新一轮军事和人道主义援助，还将增加乌克兰军事人员的培训数量，比最初承诺的数量增加一倍。据悉，此次军事援助包括新型装甲运输车、充气指挥艇、用于防空和反舰的发射器、导弹、特种卡车和救护车等。,22:00:31,2023-09-20,,
【公告全知道】华为海思+算力租赁+信创+人工智能+英伟达+数据要素！公司已研发基于华为海思AI芯片的产品,①华为海思+算力租赁+信创+人工智能+英伟达+大数据+数据要素！这家公司是华为智能计算生态联盟的首批成员，已研发基于华为海思AI芯片的产品，投资成立算力公司且规划运营算力总规模不低于10000P；②华为+新能源汽车+卫星通信+消费电子！这家公司是华为核心供应商，制造的部分手机具备卫星电话、救援等诸多功能；③华为汽车+新能源汽车+工业母机！公司为华为问界系列汽车提供核心零部件。,21:56:55,2023-09-20,,
江波龙：UFS2.1产品预计将在2024年上半年开始量产出货,【江波龙：UFS2.1产品预计将在2024年上半年开始量产出货】财联社9月20日电，江波龙接受调研时表示，截至目前，公司车规级eMMC、UFS已通过汽车电子行业核心标准体系AECQ100认证，公司UFS2.1产品已在多个汽车客户端完成产品验证，根据客户项目进展，预计将在2024年上半年开始量产出货。同时，公司还完成了第二代车规级UFS产品的产品设计和验证工作，并开始给策略汽车客户送样验证，将进一步扩大公司的车规市场占有率。,21:52:30,2023-09-20,江波龙,301308.SZ
珠江口部分海域进行实弹射击训练 禁止进入,【珠江口部分海域进行实弹射击训练 禁止进入】财联社9月20日电，据中国海事局网站消息，广东海事局发布航行警告，9月21日8时至18时，珠江口部分海域进行实弹射击训练，禁止进入。,21:51:48,2023-09-20,,
第六届世界顶尖科学家论坛将于11月6日至8日举行,【第六届世界顶尖科学家论坛将于11月6日至8日举行】财联社9月20日电，世界顶尖科学家协会（WLA，中文简称“顶科协”）在上海宣布，第六届世界顶尖科学家论坛（The 6th WLA Forum）将于11月6日至8日在中国上海临港新片区世界顶尖科学家论坛永久会址举行。,21:46:02,2023-09-20,,
宇瞳光学：拟以5000万元-1亿元回购公司股份,【宇瞳光学：拟以5000万元-1亿元回购公司股份】财联社9月20日电，宇瞳光学公告，拟以5000万元-1亿元回购公司股份，回购股份价格不超过21.00元/股。,21:38:14,2023-09-20,宇瞳光学,300790.SZ
北京市委、市政府决定：邱银富任首钢集团总经理,【北京市委、市政府决定：邱银富任首钢集团总经理】财联社9月20日电，首钢集团召开干部大会，宣布北京市委、市政府关于邱银富同志的任职决定：邱银富同志任首钢集团有限公司总经理。,21:34:13,2023-09-20,北京市委、市,
美股三大指数集体高开 蔚来涨逾2%,【美股三大指数集体高开 蔚来涨逾2%】财联社9月20日电，美股三大指数集体高开，道指涨0.25%，纳指涨0.23%，标普500指数涨0.26%。蔚来涨逾2%，蔚来首款智能手机将于9月21日发布。百济神州跌超2%，诺华与其终止tislelizumab（替雷利珠单抗）的合作和许可协议。,21:30:42,2023-09-20,,
【风口研报·洞察】三大原因解释为何近期医药板块表现优异，分析师认为三季报前任存在情绪修复行情，这些公司具有创新药亮眼大单品；近期宏观大类资产三个重要背离的思考,①近期宏观大类资产三个重要背离的思考；②三大原因解释为何近期医药板块表现优异，分析师认为三季报前任存在情绪修复行情，这些公司具有创新药亮眼大单品；③今日全市场机构研报共发布166篇，恒润股份有望迎来拐点，8家公司获得首度覆盖，其中天厦门钨业等3股获新财富分析师覆盖；④在个股机构关注度排行中，盐津铺子首次上榜，前五名依次为盐津铺子>普源精电>康泰生物>卫星化学>盛科通信。,21:19:24,2023-09-20,,
能辉科技：中标9982.06万元EPC总承包项目,【能辉科技：中标9982.06万元EPC总承包项目】财联社9月20日电，能辉科技公告，公司中标广州发展阳山太平光伏复合二期扩建项目EPC总承包(第二次)，中标价格9982.06万元。同日公告，公司为“广西贵港市100MW户用光伏项目发电系统及运维服务项目采购”首选中标候选人，投标报价：供货单价3.5元/Wp（含税），运维费用0.04元/Wp/年（含税）。招标人赣辉新能为公司的关联法人，构成关联交易。,21:11:55,2023-09-20,能辉科技,301046.SZ
波兰外交部召见乌克兰大使,【波兰外交部召见乌克兰大使】财联社9月20日电，据俄新社20日援引波兰媒体的消息报道，对于乌克兰总统泽连斯基所发表有关言论，波兰外交部召见乌克兰驻波大使瓦西里·兹瓦里奇。俄新社提到，乌克兰与波兰之间的紧张关系正在加剧。报道说，对于粮食问题，泽连斯基日前称，基辅在欧洲的“一些朋友”在政治舞台上假装团结，但实际上他们是在为莫斯科采取行动创造条件。对此，波兰政府发言人回应说，“我希望这些话不是在针对波兰。我们的国家没有被点名”。波兰总统府一名发言人称，泽连斯基的言论“令人震惊、不公平”。 (环球网),21:07:22,2023-09-20,,
【财联社早知道】全球首个LEO卫星5G通话成功实现！意味着普通5G手机也能进行卫星通话；华为云昇腾AI云服务百模千态专区上线；这家公司宫颈HSIL非手术类产品国际III期临床成功，即将上市！,"①全球首个LEO卫星5G通话成功实现！意味着普通5G手机也能进行卫星通话，这家公司已形成了“芯片－模块－终端－基站－系统”的全产业链布局，公司还是G60星座载荷唯一供应商；
②华为云昇腾AI云服务百模千态专区上线，机构称大模型快速发展趋势下液冷方案有望迎来高需求，这家公司的液冷测试设备主要应用于服务器领域，主要客户有华为、中兴通讯；
③这家公司的APL-1702用于治疗宫颈高级别鳞状上皮内病变的国际多中心Ⅲ期临床试验达到主要研究终点，公司将于近期与监管部门沟通递交该药品的新药上市申请事宜。",21:06:54,2023-09-20,,
蔚来首款智能手机将于9月21日发布,【蔚来首款智能手机将于9月21日发布】财联社9月20日电，记者从多个独立信源处获悉，蔚来首款手机将于明日上午发布。9月21日，蔚来将举行科技创新日，将首次介绍全栈技术布局，并发布全新移动互联产品。今年8月，在2023年第二季度业绩电话会议上，蔚来创始人、董事长、CEO李斌曾透露，手机的推出将有利于增加车的竞争力，计划9月下旬交付手机产品。 (贝壳财经),21:01:23,2023-09-20,,
,国内期货夜盘开盘涨跌不一，沪银涨0.78%，沪铜涨0.2%，沪镍跌0.77%，铁矿涨0.75%，焦煤涨0.86%，原油跌1%，燃油跌0.75%。,21:00:48,2023-09-20,,
申昊科技：拟以4000万元-8000万元回购股份,【申昊科技：拟以4000万元-8000万元回购股份】财联社9月20日电，申昊科技公告，拟以4000万元-8000万元回购股份，回购价格不超过人民币38.29元/股。,20:56:18,2023-09-20,申昊科技,300853.SZ
三态股份中签号出炉 共约9.24万万个,【三态股份中签号出炉 共约9.24万万个】财联社9月20日电，三态股份披露首次公开发行股票网上中签结果，中签号码共有92398个，每个中签号码只能认购500股三态股份股票。,20:55:31,2023-09-20,,
四川抢锂大战后续：大中矿业近日将一次缴清42亿元拍卖款,【四川抢锂大战后续：大中矿业近日将一次缴清42亿元拍卖款】财联社9月20日电，四川省马尔康市加达锂矿探矿权竞拍出让结果公示期结束整20天。从该锂矿探矿权最终竞得者内蒙古大中矿业股份有限公司处了解到，公司即将于近日一次性缴清此次探矿权出让收益42.0579亿元人民币。“缴款时间应该就在这两天。”当记者以投资者身份询问具体时间时，大中矿业方面表示，“具体情况见公司后续公告。” (澎湃新闻),20:50:25,2023-09-20,四川抢锂大战,
爱立信与德国电信启动合作 将为开发者提供通信和网络API,【爱立信与德国电信启动合作 将为开发者提供通信和网络API】财联社9月20日电，爱立信在官网宣布，其通过网络API创建全球网络平台业务的企业战略迎来关键里程碑。该公司与德国电信（DT）将启动一项商业合作，为开发者和企业提供通信和网络API。API平台将为运营商创造新的途径，使其网络投资货币化，并推动对移动基础设施的投资。,20:36:54,2023-09-20,,
WBMS：2023年7月全球精炼铜供应过剩4.53万吨,【WBMS：2023年7月全球精炼铜供应过剩4.53万吨】财联社9月20日电，世界金属统计局（WBMS）公布的最新报告显示，2023年7月，全球精炼铜产量为220.48万吨，精炼铜消费量为215.95万吨，供应过剩4.53万吨。2023年7月全球铜矿产量为181.64万吨。,20:36:27,2023-09-20,WBMS,
汉仪股份：华为是公司的重要客户与合作伙伴,【汉仪股份：华为是公司的重要客户与合作伙伴】财联社9月20日电，汉仪股份在互动平台表示，华为是公司的重要客户与合作伙伴。一方面，公司设计的鸿蒙字体是字库类技术服务项目，公司以项目形式与华为进行结算。另一方面，公司在华为手机的主题商城中为用户提供个性化字体和主题产品，满足用户个性化的字体需求。华为手机主题商城的用户数量、活跃度、消费频次等等都有利于个性化主题和字体产品的销售。,20:35:29,2023-09-20,汉仪股份,301270.SZ
无锡第五批次9宗涉宅地块全部底价成交 总金额72.2亿元,【无锡第五批次9宗涉宅地块全部底价成交 总金额72.2亿元】财联社9月20日电，江苏省无锡市第五批次的9宗涉宅地块均以底价成交，成交额72.23亿元。9宗涉宅地块分别来自梁溪区（1宗）、锡山区（2宗）、惠山区（1宗）、滨湖区（2宗）、新吴区（3宗），总出让面积约32.26万平方米。其中，容积率在1.6及以下的地块有5宗，占比56%，中指研究院分析称，未来地块项目入市将极大程度上满足改善类客户需求。,20:34:14,2023-09-20,,
四川：到2025年全省元宇宙相关产业规模达到2500亿元,【四川：到2025年全省元宇宙相关产业规模达到2500亿元】财联社9月20日电，四川省经济和信息化厅等16部门联合印发《四川省元宇宙产业发展行动计划（2023—2025年）》，其中提到目标为，到2025年，全省元宇宙相关产业规模达到2500亿元，建成一批元宇宙领域国内一流的重点实验室、工程（技术）研究中心等创新载体，在工业、文旅、教育、城市发展等领域打造200个元宇宙典型应用场景，建成若干个元宇宙特色产业园区，引育15家元宇宙核心赛道链主企业、150家细分领域“专精特新”企业、300家创新型中小企业，推动四川六大优势产业数字化转型智能化升级成果显著。,20:30:56,2023-09-20,,
美股盘前要闻一览,"【美股盘前要闻一览】财联社9月20日电，投资者需重点关注的美股市场财经要闻如下：
1、美国股指期货小幅上涨，截至目前，道指期货涨0.29%，标普500指数期货涨0.22%，纳斯达克100指数期货涨0.21%。
2、欧洲股市多数上涨，德国DAX指数涨0.6%，法国CAC指数涨0.78%，英国富时指数涨0.5%。
3、美联储将于北京时间周四凌晨2点公布9月利率决议。业内人士普遍预计，美联储料将在今晚暂时停下加息脚步。
4、欧洲汽车制造商协会公布的数据显示，8月份欧盟售出的新车中，有五分之一以上是纯电动汽车，销量同比增加了一倍多。
5、苹果法国员工工会呼吁在周五和周六举行全国罢工，为了应对通货膨胀，CGT、Unsa、CFDT和CFTC在内的一些工会在年度工资谈判中提出，要求为所有员工涨薪7%。
6、Meta周三宣布，将在印度推出WhatsApp支付功能，让印度用户可以通过聊天窗口直接向当地商家购买商品和服务。
7、高盛正在就出售专业贷款公司GreenSky给一组投资公司进行深入谈判，交易价值约为5亿美元。
8、微软宣布提高季度股息，从每股0.68美元上调至0.75美元，上调幅度为10%。此举不仅反映了该公司强劲的财务业绩，也表明了其回报忠实投资者的承诺。
9、波音公司发布《当前民用航空市场展望》。在中国远高于全球平均水平的经济发展和国内航空旅行增长的推动下，波音小幅上调对未来20年中国新飞机需求的预测。
10、亚马逊计划新招25万名美国员工，比去年招聘的员工数量多67%；员工时薪从17美元到28美元不等，较去年有所增加。
11、金融服务公司伯恩斯坦表示，预计苹果市值可能跌至第4位，被微软，谷歌和亚马逊超越，因为苹果不是人工智能的核心受益者。甚至，英伟达也有潜力超过苹果。
12、美国抵押贷款巨头房利美日前警告称，美国房屋销售正面临2011年以来最大的放缓，经济将在明年上半年陷入衰退。
13、Wedbush表示，人工智能驱动的增长将推动科技股上涨至今年年底及以后；尽管美联储利率存在不确定性，10年期美国国债收益率上升，但牛市仍将继续。
14、美国检察官正在对特斯拉的42号项目进行调查，并将范围扩大至与马斯克有关的其他公司；检方怀疑，马斯克利用特斯拉资源来为个人利益服务，其还暗示可能提起刑事调查。",20:30:08,2023-09-20,,
【风口研报·公司】肝病领域迎来行业历史性时刻，公司半年报揭露已切换至按次收费的估值逻辑，司美格鲁肽将是下一个潜在催化；另有公司产量增+成本优+自由现金流强+股息率高，当前市场背景下成稀缺资产,"①肝病领域迎来行业历史性时刻，公司半年报揭露已切换至按次收费的估值逻辑，司美格鲁肽将是下一个潜在催化；
②原油年内或突破100美元/桶，这家公司产量增+成本优+自由现金流强+股息率高，当前市场背景下成稀缺资产。",20:27:33,2023-09-20,,
汇丰宣布将向减排技术初创企业提供10亿美元融资,【汇丰宣布将向减排技术初创企业提供10亿美元融资】财联社9月20日电，汇丰控股9月20日发布声明，宣布计划支持电动汽车充电、电池存储、可持续食品和农业以及除碳技术等行业的初创公司，提供共计10亿美元融资。根据声明，汇丰还将额外拨出1亿美元投资于“突破性能源催化剂”（Breakthrough Energy Catalyst）平台，支持利用新兴技术减少排放的项目和企业。,20:24:30,2023-09-20,,
潘基文：建立框架与规则 及时应对科技带来的风险,【潘基文：建立框架与规则 及时应对科技带来的风险】财联社9月20日电，博鳌亚洲论坛国际科技与创新论坛第三届大会今天举行开幕式。博鳌亚洲论坛理事长潘基文在会上表示，技术是发展的根本动力，但并非所有的国家都平等地从中获益，全球还有很多国家被甩在了后面。世界有一半的人口，其中大部分是发展中国家的女性，至今未能接触到互联网。数字鸿沟正在扩大，我们应确保鸿沟不会带来更加严重的不平等。技术应当均衡、全面地发展，兼顾多方利益，尤其是在人工智能、生物科技及其他前沿技术等引发广泛关注和担忧的领域。我们应当建立一个伦理、规则和标准的框架，确保在利益最大化的同时，能将风险最小化。（财联社记者郭松桥 董巍）,20:24:25,2023-09-20,潘基文,
华宇软件：公司实际控制人邵学已正式获释,【华宇软件：公司实际控制人邵学已正式获释】财联社9月20日电，华宇软件发布关于刑事案件进展的公告，公司于2023年9月20日获悉，公司实际控制人邵学已正式获释。至此，（2022）京0108刑初416号刑事判决书已全部执行完毕。,20:18:26,2023-09-20,华宇软件,300271.SZ
9月20日周三《新闻联播》要闻24条,"【9月20日周三《新闻联播》要闻24条】财联社9月20日电，今天《新闻联播》主要内容有：
1、【新思想引领新征程】中欧班列稳定畅通 深化全球互联互通；
2、李强主持召开国务院常务会议；
3、多项政策发力 经济回升向好势头持续巩固；
4、首届金熊猫国际文化论坛在成都举行；
5、中央纪委国家监委公开通报七起违反中央八项规定精神典型问题；
6、【在希望的田野上】各地有序推进秋收作业；
7、中国残疾人联合会第八次全国代表大会闭幕；
8、【杭州第19届亚运会】办赛条件已全部具备 门票销售火热；
9、【杭州第19届亚运会】火炬传递活动最后一站在杭州举行；
10、2023中国企业500强榜单发布；
11、两部门联合开展金秋助学活动；
12、我国新能源公共汽电车占比达77%；
13、前8个月太阳能发电新增装机超1亿千瓦；
14、财政部今天在澳门成功发行50亿元人民币国债；
15、山东装机规模最大抽水蓄能电站全面投产发电；
16、2023世界制造业大会今天开幕；
17、第二届全国技能大赛昨晚闭幕；
18、俄称在多地向乌军发起进攻 乌称击落俄弹道导弹：（1）国际人士：无休止提供武器令冲突加剧 应劝和促谈；（2）乌方称将宣布禁止进口波兰部分农产品；
19、古巴领导人谴责美国单边制裁违反国际法；
20、纳卡地区局势一度紧张 停火共识今达成；
21、俄防长访伊朗 聚焦加强双边国防合作；
22、以军在约旦河西岸军事行动致多人死伤；
23、不满通胀高企 英国医生再次罢工；
24、澳大利亚悉尼发布室外全面禁火令。",20:15:30,2023-09-20,,
海光信息：深算二号已经发布并实现商用 深算三号研发进展顺利,【海光信息：深算二号已经发布并实现商用 深算三号研发进展顺利】财联社9月20日电，海光信息接受调研时表示，海光DCU深算系列属于GPGPU的一种，采用“类CUDA”通用并行计算架构，能够较好地适配、适应国际主流商业计算软件和人工智能软件，产品性能达到国内领先。深算二号已经发布并实现商用，深算二号实现了在大数据处理、人工智能、商业计算等领域的商业化应用，具有全精度浮点数据和各种常见整型数据计算能力，性能相对于深算一号实现了翻倍的增长。深算三号研发进展顺利。,20:14:40,2023-09-20,海光信息,688041.SH
今日11家科创板公司披露回购进展 科创板在途回购计划累计回购超38亿元,【今日11家科创板公司披露回购进展 科创板在途回购计划累计回购超38亿元】《科创板日报》20日讯，据统计，今日有12家科创板公司披露回购进展、经营情况等利好公告。11家发布回购进展公告，其中，南亚新材的回购计划用时半个月便实施完毕，回购金额近3000万元，禾迈股份已回购金额达1.5亿元，大幅超出回购下限，纳芯微、瀚川智能、沃尔德、中自科技已回购金额均超千万。另有亚虹医药自愿披露研发进展。 截至目前，科创板在途回购计划累计回购超38亿元，其中，科创50公司禾迈股份、联影医疗、翱捷科技回购进度分别达到150%、109%、106%。,20:14:07,2023-09-20,,
熙菱信息：预计前三季度净亏损2800万元–3600万元,【熙菱信息：预计前三季度净亏损2800万元–3600万元】财联社9月20日电，熙菱信息公告，预计前三季度净亏损2800万元–3600万元，上年同期亏损4812.6万元。报告期内公司整体亏损收窄，一方面因业务逐渐恢复预计毛利较去年同期有所上升；另一方面报告期内公司长账龄项目回款导致信用减值损失及资产减值损失预计在本报告期转回，对利润总额预计产生正向的影响。,20:12:15,2023-09-20,熙菱信息,300588.SZ
【机构调研】这家电子化学品巨头集成电路营收占比达七成，大基金持股26.40%,这家电子专用化学材料一站式平台集成电路营收占比约70%，公司核心产品国内市占率超50%，大基金持股比例近三成。,20:11:20,2023-09-20,,
成都上半年大数据产业规模573亿元 同比增长32%,【成都上半年大数据产业规模573亿元 同比增长32%】《科创板日报》9月20日讯 ，记者从成都大数据产业生态服务大会上获悉，2023年上半年产业规模达573亿元，同比增长32%，已培育上市公司36家、国家级专精特新小巨人34家。（记者 陈美）,20:09:34,2023-09-20,,
国家药监局：全面强化境内第二类医疗器械审评审批工作,【国家药监局：全面强化境内第二类医疗器械审评审批工作】财联社9月20日电，全国加强第二类医疗器械注册管理工作会议在成都召开。会议通报了境内第二类医疗器械注册清理规范及相关品种整改情况，就全面加强注册管理有关工作作出部署。会议要求，全面强化境内第二类医疗器械审评审批工作。要坚持人民至上，树牢监管为民理念；坚持依法行政，严格规范审评审批；坚持源头治理，严格首个产品上市审批；坚持系统思维，加强质量管理体系建设，切实保障人民群众用械安全。,20:07:59,2023-09-20,国家药监局,
海口首套首付降至25% 二套首付35% 9月21日起执行,【海口首套首付降至25% 二套首付35% 9月21日起执行】财联社9月20日电，海南省市场利率定价自律机制近日发布通知，为进一步促进海口市房地产市场平稳健康发展，根据中国人民银行、国家金融监管总局有关文件精神以及海口市政府调控要求，决定自9月21日起调整海口市购房首付政策。对于拥有海南省户籍的居民家庭，贷款购买海口市商品住房，首套住房商业性个人住房贷款最低首付款比例调整为25%，二套住房商业性个人住房贷款最低首付款比例调整为35%。同时，二套住房商业性个人住房贷款利率政策下限调整为不低于相应期限贷款市场报价利率(LPR)加30个基点。,20:06:15,2023-09-20,,
云南今年新能源新增并网装机突破1000万千瓦,【云南今年新能源新增并网装机突破1000万千瓦】财联社9月20日电，从南方电网云南电网公司获悉，今年以来，云南加快风电、光伏等新能源开发建设步伐，截至8月底，今年全省集中式新能源新增并网装机突破1000万千瓦，达1024.08万千瓦。,20:02:30,2023-09-20,,
埃尔多安和内塔尼亚胡首次面对面会晤 讨论能源、AI等领域合作前景,【埃尔多安和内塔尼亚胡首次面对面会晤 讨论能源、AI等领域合作前景】财联社9月20日电，土耳其总统雷杰普·塔伊普·埃尔多安和以色列总理本雅明·内塔尼亚胡在美国纽约出席联合国大会间歇，实现两人首次面对面会晤。土耳其总统府在社交媒体平台上说，两位领导人讨论了政治、经济和地区议题以及巴以问题。埃尔多安告诉内塔尼亚胡，两国可以在能源、技术、创新、人工智能以及网络安全方面合作。能源有望成为双边合作的一个主要领域。参加会晤的土耳其能源部长阿尔帕尔斯兰·巴伊拉克塔尔说：“会晤主要讨论了天然气勘探、生产和贸易等方面的能源合作机会。”以色列总理府在一份声明中说，两位领导人同意尽快实现互访。,20:02:25,2023-09-20,,
,财联社9月20日电，波罗的海干散货指数涨3.8%，报1584点，为连续第十一个交易日上涨。,20:02:20,2023-09-20,,
建艺集团：拟与债务重组人签署相关抵房抵债认购协议,【建艺集团：拟与债务重组人签署相关抵房抵债认购协议】财联社9月20日电，建艺集团公告，公司拟与债务重组人及其内部关联方湖南湘天房地产开发有限公司签署相关抵房抵债认购协议，债务重组人以湖南湘天房地产开发有限公司已建成商品房作价1046.78万元，用以抵偿其所欠付公司的工程款项合计996.78万元，差额50万元由公司以现金补充。剩余工程所欠款项的还款时间双方另行商定，该笔交易已构成债务重组事项。经初步测算，本次债务重组预计转回已计提应收账款坏账准备约613.02万元，即本次债务重组交易产生的利润约占上市公司最近一个会计年度经审计净利润的50%以上。,20:01:23,2023-09-20,建艺集团,002789.SZ
祥源文旅：预计十一假期公司景区业务将实现较大增量,【祥源文旅：预计十一假期公司景区业务将实现较大增量】财联社9月20日电，祥源文旅董事长王衡在业绩会上表示，十一假期作为旅游行业传统旺季，今年又叠加中秋佳节，从公司目前了解到的铁路预订、酒店预订等出行信息，旅游市场有望迎来进一步爆发，预计公司景区业务将实现较大增量。公司已在营销、接待、安全保障等方面做好全方位部署，全力打好“十一攻坚战”。,20:01:21,2023-09-20,祥源文旅,600576.SH
【电报解读】加快推进新型工业化，机构称这一领域是新型工业化的重要环节，这家公司已打造“采集、控制、计算、存储、显示”功能为一体的边缘产品,加快推进新型工业化，机构称这一领域是新型工业化的重要环节，这家公司已打造“采集、控制、计算、存储、显示”功能为一体的边缘产品，另一家自研工业互联网平台入选工信部“双跨”。,19:54:50,2023-09-20,,
苹果法国工人在iPhone 15发布前号召罢工,【苹果法国工人在iPhone 15发布前号召罢工】财联社9月20日电，苹果法国专卖店的工会呼吁在iPhone 15发布前的周五和周六举行罢工，以便要求苹果公司提高工资和工作条件。工会还呼吁工人们周五上午在巴黎加尼耶歌剧院举行示威，该歌剧院毗邻苹果在巴黎的一家旗舰店。工会成员Karine Chouchane表示，可能会在法国四分之三的苹果商店进行罢工动员。苹果公司尚未对此置评。,19:54:35,2023-09-20,,
中韩举行海域划界谈判工作组第十一轮会谈,【中韩举行海域划界谈判工作组第十一轮会谈】2023年9月19日，外交部东黄海事务代表郭燕与韩国外交部国际法律局局长黄俊植在北京共同主持中韩海域划界谈判工作组第十一轮会谈。双方就中韩海域划界有关问题坦诚深入交换意见，并同意适时举行工作组第十二轮会谈。,19:51:09,2023-09-20,,
全球首个宫颈HSIL非手术类产品国际III期临床成功,【全球首个宫颈HSIL非手术类产品国际III期临床成功】《科创板日报》20日讯，近日，亚虹医药宣布，产品APL-1702的国际多中心III期临床试验达到主要研究终点。该产品用于非手术治疗宫颈高级别鳞状上皮内病变（HSIL），并有望成为全球首个针对宫颈HSIL的疗效确证的非手术类产品。亚虹医药将于近期与监管部门沟通，递交该产品的新药上市申请事宜。（记者 郑炳巽）,19:49:43,2023-09-20,,
英国拟推迟实施新燃油车禁售令 大众汽车与Stellantis呼吁明确监管框架,【英国拟推迟实施新燃油车禁售令 大众汽车与Stellantis呼吁明确监管框架】财联社9月20日电，英国唐宁街9月20日证实，英国首相苏纳克将于当地时间20日下午4点30分发表讲话。外界预测，苏纳克将宣布英国净零排放战略的“重大调整”，包括将新燃油车销售禁令的生效时间从2030年推迟到2035年。9月20日，大众汽车与Stellantis的英国分公司分别表态，呼吁明确监管。大众汽车表示：“我们迫切需要一个清晰可靠的监管框架，以建立市场确定性和消费者信心……需要制定具有约束力的基础设施推广目标和激励措施，以确保前进方向。”Stellantis发言人称，英国政府“必须明确重要立法，尤其是影响整个社会的环境问题”。,19:43:58,2023-09-20,,
锐明技术：华为是公司重要供应商之一,【锐明技术：华为是公司重要供应商之一】财联社9月20日电，锐明技术在互动平台表示，华为是公司重要供应商之一，目前公司与华为的合作正积极有序推进中。公司对星闪技术的研究及应用一直在积极关注及探索中。,19:33:29,2023-09-20,锐明技术,002970.SZ
